phylum;class;order;family;genus;Taxon;Banyuls;;Calanques;Calanques;Calvi;Calvi;Cap Roux;Cap Roux;Porquerolles;Porquerolles;St Florent;St Florent
;;;;;;SPY200468;SPY200474;SPY181699;SPY192310;SPY181149;SPY181150;SPY200806;SPY200807;SPY201239;SPY201241;SPY201216;SPY201263
Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio profundi;;;;;;;;;;;12;12
Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio sp. PaD2.27;;;;;;;;;;;;14
Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;;Vibrionaceae;;;24;;;18;;;14;31;56;47
Proteobacteria;Gammaproteobacteria;Xanthomonadales;;;Xanthomonadales;;;42;34;;;;;;;;
Proteobacteria;Oligoflexia;Bacteriovoracales;Bacteriovoracaceae;Bacteriovorax;Bacteriovorax sp. GSL4B1;11;35;;;;;;;;;;
Proteobacteria;;;;;Proteobacteria;;;106;75;38;92;95;51;83;106;263;328
Thaumarchaeota;;Nitrosopumilales;Nitrosopumilaceae;;Nitrosopumilaceae;19;25;;;;;;;;;;
Thermotogae;Thermotogae ;Petrotogales;Petrotogaceae;Defluviitoga;Defluviitoga tunisiensis;;;25;27;;;;;;;;
Verrucomicrobia;Opitutae;Opitutales;Opitutaceae;Lacunisphaera;Lacunisphaera parvula;;;;;;;;12;;;;
Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;Coraliomargarita;Coraliomargarita akajimensis;17;37;45;18;15;50;;;;;35;37
Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;Coraliomargarita;Coraliomargarita sp.;15;23;66;46;82;341;;;;;74;41
Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Rubritalea;Rubritalea marina;;;20;;;;;;;;;
Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Fucophilus;Fucophilus fucoidanolyticus;20;;257;123;199;265;67;80;88;84;70;126
;;;;;Luminiphilus syltensis NOR5-1B;;18;;;;;;;;;;
;;;;;Luna-1 subcluster;;49;;;;;23;;;;;
;;;;;Tolumonas auensis DSM 9187;;;18;26;;;;;;;;
;;;;;unclassified Candidatus Pelagibacter;617;161;1563;1098;842;1992;429;444;2066;1792;1095;837
;;;;;unclassified Endozoicomonas;;;;;;;;;;11;;
;;;;;unclassified Flavobacterium;;;;;;;15;12;;;;
;;;;;unclassified Formosa;;;99;91;;143;100;71;105;82;;
;;;;;unclassified Glaciecola;;;54;44;;;150;170;;;;
;;;;;unclassified Hyphomonas;30;46;;;;;;;;;;
;;;;;unclassified Limnohabitans;;;;;;;40;21;;;;
;;;;;unclassified Moritella;;;11;14;;;;;15;14;;
;;;;;unclassified Polaribacter;;;;;;;20;;;;;
;;;;;unclassified Sulfurospirillum;;;19;15;;;;;;;;
;;;;;unclassified Synechococcus;663;316;942;141;25;411;257;309;1045;1356;530;346
Total;;;;;;5859;12263;15000;11070;9822;17717;10956;7041;10703;12451;10283;9334
