"","phylum","class","order","family","taxon","Agde_port_1","Agde_port_2","Cannes_Biohut","Cannes_Port_1","Cannes_Port_2","La_Ciotat_Port_1","La_Ciotat_Port_2","Marseillan_Port_1","Marseillan_Port_2","Marseillan_Biohut","Porquerolles_Port_1","Porquerolles_Port_2","Port_Vendre_Port_1","Port_Vendre_Port_2","SMM_Biohut","SMM_Port_1","SMM_Port_2"
"56","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"57","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia cenocepacia",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"58","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderiaceae",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"59","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"60","Proteobacteria","Betaproteobacteria","Neisseriales","-","Neisseriales",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"61","Proteobacteria","Betaproteobacteria","Rhodocyclales","Zoogloeaceae","Zoogloeaceae",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrionaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"63","Proteobacteria","Deltaproteobacteria","-","-","Deltaproteobacteria",0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0
"64","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Arcobacter",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"65","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Arcobacter lekithochrous",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"66","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Arcobacter nitrofigilis",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"67","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Arcobacter sp.",0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
"68","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacteraceae",0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"69","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Sulfurimonas",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"70","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Sulfurimonas sp. MA01",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"71","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Tolumonas auensis",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae",0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
"73","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas sp.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"74","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Colwelliaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"75","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"76","Proteobacteria","Gammaproteobacteria","Alteromonadales","-","Alteromonadales",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"77","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Eionea flava",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Teredinibacter sp.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"79","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Halieaceae",0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1
"80","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Porticoccaceae","Porticoccus",0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1
"81","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Porticoccaceae","Porticoccus hydrocarbonoclasticus",1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
"82","Proteobacteria","Gammaproteobacteria","Chromatiales","Thioprofundaceae","Thioprofundum",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
"83","Proteobacteria","Gammaproteobacteria","Chromatiales","-","Chromatiales",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"84","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter freundii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"85","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"86","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter cloacae",1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
"87","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter sp. Nj-68",0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0
"88","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacteriaceae",1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
"89","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella sp. L16",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"90","Proteobacteria","Gammaproteobacteria","Enterobacterales","Hafniaceae","Hafnia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"91","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Morganella",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"92","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Providencia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"93","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia",1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1
"94","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia marcescens",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"95","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia sp. SP-1.4",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Yersiniaceae",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
"97","Proteobacteria","Gammaproteobacteria","Enterobacterales","-","Enterobacterales",1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
"98","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Hahellaceae","Hahella chejuensis",1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"99","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Litoricolaceae","Litoricola",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"100","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinobacterium",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
