Nom du site;;;; Agde Port ; Agde Port ; Cannes Port ; Cannes Port ; La Ciotat Port Zone 1 ; La Ciotat Port Zone 1 ; La Ciotat Port Zone 2 ; La Ciotat Port Zone 2 ; Porquerolles Port  ; Porquerolles Port  ; Port Vendre Port ; Port Vendre Port ; SMM Port  ; SMM Port  
kingdom;phylum;class;order; SPY221741 ; SPY221742 ; SPY221745 ; SPY221746 ; SPY221749 ; SPY221750 ; SPY221751 ; SPY221753 ; SPY221747 ; SPY221748 ; SPY221743 ; SPY221744 ; SPY221739 ; SPY221740 
Chromista;Endomyxa;-;Plasmodiophorida;;;;;;;;;;;;; 11 ;
Chromista;Haptista;Centroplasthelida;Pterocystida;; 12 ; 25 ; 39 ; 24 ; 16 ; 12 ; 19 ; 16 ; 39 ; 64 ; 48 ; 55 ; 70 
Chromista;Haptista;Haptophyta;Isochrysidales;;;;; 21 ;;; 13 ;;; 25 ; 26 ;;
Chromista;Haptista;Haptophyta;Pavlovales;;;;;;;;; 11 ; 25 ;;;;
Chromista;Haptista;Haptophyta;Phaeocystales;;; 44 ; 80 ; 252 ; 231 ; 128 ; 175 ; 37 ; 66 ; 107 ; 79 ; 1 052 ; 982 
Chromista;Haptista;Haptophyta;Prymnesiales; 197 ; 597 ; 1 352 ; 2 285 ; 718 ; 709 ; 340 ; 495 ; 776 ; 1 071 ; 782 ; 635 ; 7 757 ; 7 990 
Chromista;Haptista;Haptophyta;Syracosphaerales;;;;;;;;;;; 20 ; 15 ; 32 ; 45 
Chromista;Imbricatea;-;Thaumatomonadida;;;;; 39 ; 39 ; 32 ; 41 ;;;;;;
Chromista;Myzozoa;Dinophyceae;Dinophysiales;;; 12 ;; 17 ; 19 ; 44 ; 65 ; 138 ; 214 ; 324 ; 326 ; 37 ; 71 
Chromista;Myzozoa;Dinophyceae;Gonyaulacales; 17 918 ; 22 762 ; 202 ; 577 ; 418 ; 284 ; 37 ; 87 ; 246 ; 512 ; 1 715 ; 1 843 ; 2 604 ; 1 745 
Chromista;Myzozoa;Dinophyceae;Gymnodiniales; 571 ; 689 ; 9 564 ; 15 878 ; 17 094 ; 16 864 ; 3 694 ; 3 705 ; 3 294 ; 4 884 ; 1 718 ; 1 187 ; 34 062 ; 23 403 
Chromista;Myzozoa;Dinophyceae;Peridiniales; 1 132 ; 751 ; 601 ; 1 348 ; 914 ; 818 ; 335 ; 660 ; 476 ; 440 ; 760 ; 894 ; 2 539 ; 2 583 
Chromista;Myzozoa;Dinophyceae;Prorocentrales;;;;;;;;;;; 12 ;;; 14 
