phylum,class,order,SPY213513,SPY213520,SPY213515,SPY213512,SPY213516,SPY213514,SPY213517,SPY202505,SPY202519,SPY202520,SPY213519,SPY213523,SPY213518,SPY213521,SPY213522
Platyhelminthes,Rhabditophora,-,,,,,,,,,,,,,,20,
Platyhelminthes,Rhabditophora,Macrostomida,,,,,,,16,,17,,,,,,21
Platyhelminthes,Rhabditophora,Polycladida,1568,460,115,736,75,,,15,,,,,75,89,32
Platyhelminthes,Rhabditophora,Prolecithophora,,,,,,,,,,,,,,12,
Platyhelminthes,Rhabditophora,Proseriata,,,14,,,,,,,,,,,,
Platyhelminthes,Rhabditophora,Rhabdocoela,,,,,,,,,43,,,,,,
Platyhelminthes,Trematoda,Opisthorchiida,,,,,,121,,,,,,,,,
Porifera,Calcarea,-,,,,,,27,12,,,,,,,,
Porifera,Calcarea,Clathrinida,11,,,,,,,,,,,,,,
Porifera,Calcarea,Lithonida,25,16,18,,,37,29,28,24,,25,15,,,
Porifera,Demospongiae,-,24,16,231,,,138,91,69,43,38,58,,24,11,
Porifera,Demospongiae,Axinellida,,,,,,11,15,,,,,,,,
Porifera,Demospongiae,Bubarida,,,,,,,,27,17,,,,,,
Porifera,Demospongiae,Haplosclerida,16,,27,,,38,13,11,,,,,,,
Porifera,Demospongiae,Poecilosclerida,,,,,,36,,15,24,213,,25,,,
Porifera,Demospongiae,Suberitida,,,,,,,,,,,12,,,,
Rotifera,Monogononta,-,,,,,,2110,1608,,,,215,,15,,
Rotifera,Monogononta,Ploima,,,,26,14,,,45,48,13,,12,17,,
Xenacoelomorpha,-,Nemertodermatida,,,208,95,45,,,88,13,12,22,,,,
Choanozoa,Choanoflagellata,-,,,,,,,,34,20,14,,16,,,
Choanozoa,Choanoflagellata,Acanthoecida,47,45,184,63,34,,,117,89,46,61,83,146,61,64
Choanozoa,Choanoflagellata,Craspedida,11,,,,,,,12,,,28,19,,,
Choanozoa,Ichthyosporea,Ichthyophonida,,,,,,15,,11,,,,,,11,
Chlorophyta,-,-,,,,,,,,73,16,27,,,,,
Chlorophyta,Mamiellophyceae,Dolichomastigales,,,,,,40,26,,,,,,18,,14
Chlorophyta,Mamiellophyceae,Mamiellales,58,45,78,56,25,33,,527,342,187,66,136,302,160,171
Chlorophyta,Nephroselmidophyceae,Nephroselmidales,53,48,131,75,37,,,14,,,,21,11,,
Chlorophyta,Palmophyllophyceae,Prasinococcales,,,27,14,,49,58,27,,,41,,21,11,13
Chlorophyta,Pyramimonadophyceae,Pyramimonadales,390,388,14,,,676,560,1265,617,401,239,690,3325,2598,2194
Rhodophyta,Florideophyceae,Ceramiales,,,,,,59,,17,34,12,,,,45,
Rhodophyta,Florideophyceae,Corallinales,,,,,,42,,,,,,,,,
Rhodophyta,Florideophyceae,Gigartinales,,,,,,86,19,,,,,,,,
Rhodophyta,Florideophyceae,Rhodymeniales,,,,,,15,,,,,,,,,
Streptophyta,Magnoliopsida,Laurales,,,,,,36,,,,,,,,,
Picozoa,Picomonadea,Picomonadida,210,,28,12,,31,12,72,23,,,86,,,
