"class_order","SPY213513","SPY213520","SPY213515","SPY213512","SPY213516","SPY213514","SPY213517","SPY202505","SPY202519","SPY202520","SPY213519","SPY213523","SPY213518","SPY213521","SPY213522","SPY221741","SPY221742","SPY221745","SPY221746","SPY221749","SPY221750","SPY221751","SPY221753","SPY221747","SPY221748","SPY221743","SPY221744","SPY221739","SPY221740"
"Demospongiae_Axinellida",0,0,0,0,0,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
"Demospongiae_Bubarida",0,0,0,0,0,0,0,27,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Demospongiae_Haplosclerida",16,0,27,0,0,38,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Demospongiae_Poecilosclerida",0,0,0,0,0,36,0,15,24,213,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,50,41,0,0
"Demospongiae_Suberitida",0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monogononta_NA",0,0,0,0,0,2110,1608,0,0,0,215,0,15,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
"Monogononta_Ploima",0,0,0,26,14,0,0,45,48,13,0,12,17,0,0,0,0,801,0,0,0,0,0,14,24,0,0,0,0
"NA_Nemertodermatida",0,0,208,95,45,0,0,88,13,12,22,0,0,0,0,0,0,16,14,0,0,0,0,0,0,0,0,0,0
"Choanoflagellata_NA",0,0,0,0,0,0,0,34,20,14,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"Choanoflagellata_Acanthoecida",47,45,184,63,34,0,0,117,89,46,61,83,146,61,64,0,27,38,67,49,45,0,0,72,118,11,0,24,14
"Choanoflagellata_Craspedida",11,0,0,0,0,0,0,12,0,0,28,19,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0
"Ichthyosporea_Ichthyophonida",0,0,0,0,0,15,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mamiellophyceae_Dolichomastigales",0,0,0,0,0,40,26,0,0,0,0,0,18,0,14,0,0,0,0,108,75,0,23,0,0,0,0,333,293
"Mamiellophyceae_Mamiellales",58,45,78,56,25,33,0,527,342,187,66,136,302,160,171,492,0,736,0,0,0,0,0,0,0,47,30,0,0
"Nephroselmidophyceae_Nephroselmidales",53,48,131,75,37,0,0,14,0,0,0,21,11,0,0,17,36,0,12,0,0,0,0,0,0,0,0,0,0
"Palmophyllophyceae_Prasinococcales",0,0,27,14,0,49,58,27,0,0,41,0,21,11,13,0,0,89,118,174,192,36,42,65,90,0,0,66,70
"Pyramimonadophyceae_Pyramimonadales",390,388,14,0,0,676,560,1265,617,401,239,690,3325,2598,2194,326,685,223,394,0,0,0,0,391,532,101,69,691,0
"Florideophyceae_Ceramiales",0,0,0,0,0,59,0,17,34,12,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florideophyceae_Corallinales",0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florideophyceae_Gigartinales",0,0,0,0,0,86,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florideophyceae_Rhodymeniales",0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Magnoliopsida_Laurales",0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Picomonadea_Picomonadida",210,0,28,12,0,31,12,72,23,0,0,86,0,0,0,14,76,0,28,74,70,31,26,342,648,35,17,142,320
"Conoidasida_Eugregarinorida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,0,0,15,0,0,0,0,0,0,0,0,0
"Oligohymenophorea_Philasterida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
"NA_Plasmodiophorida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"Haptophyta_Pavlovales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,25,0,0,0,0
"Dinophyceae_Prorocentrales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,14
"Eustigmatophyceae_Eustigmatales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,47,0,0,0,0
"Phaeophyceae_Ectocarpales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
"Pinguiophyceae_Pinguiochrysidales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,0,0,0,11,0,0,0,0
