"scientific_name","SPY213513","SPY213520","SPY221741","SPY221742","SPY213515","SPY213512","SPY213516","SPY221745","SPY221746","SPY213514","SPY213517","SPY221749","SPY221750","SPY221751","SPY221753","SPY202505","SPY202519","SPY202520","SPY213519","SPY213527","SPY221747","SPY221748","SPY213523","SPY213525","SPY221743","SPY221744","SPY213518","SPY213521","SPY213522","SPY221739","SPY221740"
"Symphodus_tinca",0,0,0,0,0,0,0,0,0,391,0,0,0,0,0,141,0,415,654,0,825,0,0,26,931,0,82,0,0,222,0
"Thalassoma_pavo",0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0
"Lophius_budegassa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,165,0,0,0,0,0,0,318,0,0,0,0,0,0
"Lophius_piscatorius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0
"Pomadasys_incisus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
"Chelon_auratus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859,0,0,0,370,486,0,466,0,0,0,0,0
"Chelon_labrosus",0,0,0,0,0,0,0,0,0,607,0,0,0,0,0,0,802,356,0,0,0,0,496,242,0,0,0,0,0,0,0
"Chelon_ramada",0,0,0,0,232,0,0,0,0,0,0,0,0,0,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mugil_sp.",0,0,0,0,0,0,0,0,0,53,39,162,172,0,0,0,0,786,0,0,0,0,0,0,0,317,0,0,0,0,0
"Oedalechilus_labeo",0,0,0,0,62,0,295,0,0,87,452,479,0,951,0,0,0,0,516,0,947,460,0,0,0,0,0,0,0,0,0
"Myctophum_punctatum",0,0,0,0,61,0,776,441,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0
"Sander_sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,44,0,0
