"scientific_name","SPY213513","SPY213520","SPY221741","SPY221742","SPY213515","SPY213512","SPY213516","SPY221745","SPY221746","SPY213514","SPY213517","SPY221749","SPY221750","SPY221751","SPY221753","SPY202505","SPY202519","SPY202520","SPY213519","SPY213527","SPY221747","SPY221748","SPY213523","SPY213525","SPY221743","SPY221744","SPY213518","SPY213521","SPY213522","SPY221739","SPY221740"
"Euteleosteomorpha",46,0,0,0,15,16,0,0,0,19,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,11
"Neopterygii",0,0,69,0,0,0,0,0,0,12,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,27,16,14,53,20
"Otomorpha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"Teleostei",0,30,0,0,192,0,0,0,0,0,0,134,0,866,0,0,0,0,161,0,0,32,0,16,378,0,0,0,0,0,610
"Bufo sp.",0,0,0,0,0,0,0,0,0,329,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neobatrachia",0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aphelasterias japonica",0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Astropecten sp.",0,0,0,0,64,0,0,17,20,21,34,277,117,107,342,0,0,0,0,0,34,35,0,17,0,0,0,0,0,14,0
"Patiria pectinifera",0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,21,759,327,0,0,0,11,0,0,0,0,0,0,0,0,0
"Cygnus olor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chroicocephalus sp.",57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Larus sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,53,17,0,0,0,0,11,0,0,0,0
"Columba palumbus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columba sp.",0,117,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columbidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,22,0,0,0,0,0
"Rhipidura fuliginosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
"Phalacrocorax sp.",0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neognathae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
"Pharidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acanthocardia sp.",0,0,0,0,0,0,0,27,19,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,68,49,0,0,0,0
"Psammobiidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scrobicularia plana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scrobiculariidae",0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tellinidae",0,38,160,0,85,93,21,28,388,68,0,0,0,0,0,24,844,479,0,0,0,0,0,0,47,39,0,0,0,0,106
"Loripes lacteus",0,0,0,0,0,0,317,0,0,0,0,0,0,0,0,518,0,0,0,0,0,0,0,0,0,0,346,87,51,0,0
"Loripes sp.",0,0,0,0,0,11,0,112,472,0,0,764,70,124,623,0,0,0,0,0,62,53,0,0,140,39,0,0,0,0,0
